make_model,body_type,km,gear_type,fuel_type,price
Toyota Proace,Van,140000.0,Semi-automatic,Diesel,18750.0
Volkswagen Tiguan,Off-Road/Pick-up,21.0,Manuel,Electric/Gasoline,49012.0
Toyota Yaris,Compact,25365.0,,Gasoline,16995.0
Volkswagen Tiguan,Off-Road/Pick-up,,,Gasoline,14350.0
Toyota Corolla,Sedans,2300.0,Manuel,Electric/Gasoline,25945.0
Volkswagen Jetta,Sedans,226200.0,Manuel,Gasoline,7750.0
Volkswagen Golf,Station wagon,180000.0,Manuel,Gasoline,9499.0
Honda Civic,,83148.0,Manuel,Gasoline,9850.0
Opel Astra,Station wagon,134043.0,Manuel,Diesel,13495.0
Volkswagen Golf Sportsvan,Van,87685.0,Automatic,Gasoline,19850.0
Volkswagen Golf,Compact,63153.0,Automatic,Electric,21945.0
Toyota Auris,Station wagon,77529.0,Automatic,Electric/Gasoline,14835.0
Opel Vivaro,Transporter,196430.0,Semi-automatic,Diesel,10995.0
Toyota Auris,Station wagon,119290.0,Automatic,Electric/Gasoline,13225.0
Opel Corsa,Compact,188176.0,Manuel,Diesel,6950.0
Opel Mokka,Off-Road/Pick-up,,Manuel,Gasoline,10745.0
Toyota Auris,Transporter,107245.0,,Electric/Gasoline,7699.0
Opel Astra,Compact,210491.0,Manuel,Gasoline,4650.0
Volkswagen Passat Variant,Station wagon,,Automatic,Diesel,18900.0
Volkswagen Golf Cabriolet,Convertible,49964.0,,Gasoline,18450.0
Volkswagen Golf,Compact,14484.0,Automatic,Electric,21500.0
Volkswagen Tiguan,Off-Road/Pick-up,129799.0,Manuel,Gasoline,12995.0
Opel Insignia,Station wagon,140151.0,Manuel,Diesel,8900.0
Volkswagen Passat Variant,Station wagon,182489.0,Automatic,Gasoline,8950.0
Opel Insignia,Station wagon,176887.0,Manuel,Gasoline,7950.0
Opel Mokka X,Off-Road/Pick-up,,Automatic,Gasoline,17280.0
Opel Insignia,Van,113661.0,Semi-automatic,Gasoline,8500.0
Volkswagen Touran,Van,125452.0,,Gasoline,10900.0
Opel Agila,Compact,46223.0,Automatic,Gasoline,9350.0
Opel Corsa,Van,164094.0,Manuel,Gasoline,4050.0
